# Scan of Total Energy
# X-Axis:  Scan Coordinate
# Y-Axis:  Total Energy (Hartree)
#                  X                   Y
        3.5000000000     -340.4902452880
        3.4000000000     -340.4905919380
        3.3000000000     -340.4910248430
        3.2000000000     -340.4915708630
        3.1000000000     -340.4922652460
        3.0000000000     -340.4931544110
        2.9000000000     -340.4943001240
        2.8000000000     -340.4957857010
        2.7000000000     -340.4977250720
        2.6000000000     -340.5002759870
        2.5000000000     -340.5036595670
        2.4000000000     -340.5081905850
        2.3000000000     -340.5143273340
        2.2000000000     -340.5227587860
        2.1000000000     -340.5345616140
        2.0000000000     -340.5514733570
        1.9000000000     -340.5762836830
        1.8000000000     -340.6118835250
        1.7000000000     -340.6476266480
        1.6000000000     -340.6777888780
        1.5000000000     -340.6984339330
        1.4000000000     -340.7030270350
        1.3000000000     -340.6810368570
        1.2000000000     -340.6159747430
        1.1000000000     -340.4823792640
        1.0000000000     -340.2410938230
