# Scan of Total Energy
# X-Axis:  Scan Coordinate
# Y-Axis:  Total Energy (Hartree)
#                  X                   Y
        3.5000000000     -340.0391575580
        3.4000000000     -340.0606896090
        3.3000000000     -340.0836747510
        3.2000000000     -340.1083126080
        3.1000000000     -340.1346442400
        3.0000000000     -340.1627230970
        2.9000000000     -340.1925933710
        2.8000000000     -340.2242820170
        2.7000000000     -340.2577899170
        2.6000000000     -340.2930813230
        2.5000000000     -340.3300714220
        2.4000000000     -340.3686121290
        2.3000000000     -340.4084766100
        2.2000000000     -340.4493432400
        2.1000000000     -340.4907789280
        2.0000000000     -340.5322177890
        1.9000000000     -340.5729209550
        1.8000000000     -340.6118835250
        1.7000000000     -340.6476266480
        1.6000000000     -340.6777888780
        1.5000000000     -340.6984339330
        1.4000000000     -340.7030270350
        1.3000000000     -340.6810368570
        1.2000000000     -340.6159747430
        1.1000000000     -340.4823792640
        1.0000000000     -340.2410938230
