# Scan of Total Energy
# X-Axis:  Scan Coordinate
# Y-Axis:  Total Energy (Hartree)
#                  X                   Y
        2.5000000000     -342.1644888685
        2.4000000000     -342.1909873312
        2.3000000000     -342.2198422572
        2.2000000000     -342.2507790767
        2.1000000000     -342.2834186158
        2.0000000000     -342.3172325489
        1.9000000000     -342.3514618815
        1.8000000000     -342.3849716545
        1.7000000000     -342.4160052580
        1.6000000000     -342.4417935878
        1.5000000000     -342.4579656226
        1.4000000000     -342.4576868573
        1.3000000000     -342.4304043605
        1.2000000000     -342.3599937481
        1.1000000000     -342.2219458816
        1.0000000000     -341.9787801771
        0.9000000000     -341.5720969021
        0.8000000000     -340.9091286344
